,Date,G#,Age,Tm,Away,Opp,Att,Rush_YDS,Y/A,Rush_TD,Tgt,Rec,Rec_YDS,Y/R,Rec_TD,Ctch%,Y/Tgt,Snap_Pct,Snaps,Name,Position,Season,DKPt
230,2020-12-06,12.0,23.109,LAR,1,ARI,3.0,49.0,16.33,1.0,3.0,2.0,25.0,12.5,0.0,66.7%,8.33,22%,18.0,Darrell Henderson,RB,2020,15.4
231,2020-09-13,1.0,23.305999999999997,IND,1,JAX,7.0,28.0,4.0,1.0,8.0,8.0,45.0,5.63,1.0,100.0%,5.63,53%,39.0,Nyheim Hines,RB,2020,27.3
232,2020-09-20,2.0,23.313000000000002,IND,0,MIN,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,0.0,100.0%,4.0,12%,9.0,Nyheim Hines,RB,2020,1.4
233,2020-09-27,3.0,23.32,IND,0,NYJ,7.0,21.0,3.0,0.0,5.0,4.0,40.0,10.0,0.0,80.0%,8.0,34%,20.0,Nyheim Hines,RB,2020,10.1
234,2020-10-04,4.0,23.326999999999998,IND,1,CHI,9.0,24.0,2.67,0.0,3.0,3.0,8.0,2.67,0.0,100.0%,2.67,35%,25.0,Nyheim Hines,RB,2020,6.2
235,2020-10-11,5.0,23.334,IND,1,CLE,3.0,8.0,2.67,0.0,4.0,2.0,22.0,11.0,0.0,50.0%,5.5,38%,21.0,Nyheim Hines,RB,2020,5.0
236,2020-10-18,6.0,23.340999999999998,IND,0,CIN,0.0,0.0,0.0,0.0,6.0,5.0,27.0,5.4,0.0,83.3%,4.5,33%,21.0,Nyheim Hines,RB,2020,7.7
237,2020-11-01,7.0,23.355,IND,1,DET,5.0,8.0,1.6,0.0,5.0,3.0,54.0,18.0,2.0,60.0%,10.8,21%,16.0,Nyheim Hines,RB,2020,21.2
238,2020-11-08,8.0,23.362,IND,0,BAL,2.0,18.0,9.0,0.0,3.0,2.0,20.0,10.0,0.0,66.7%,6.67,34%,23.0,Nyheim Hines,RB,2020,5.8
239,2020-11-12,9.0,24.0,IND,1,TEN,12.0,70.0,5.83,1.0,6.0,5.0,45.0,9.0,1.0,83.3%,7.5,56%,39.0,Nyheim Hines,RB,2020,28.5
240,2020-11-22,10.0,24.01,IND,0,GNB,6.0,2.0,0.33,0.0,4.0,3.0,31.0,10.33,0.0,75.0%,7.75,35%,29.0,Nyheim Hines,RB,2020,8.3
241,2020-11-29,11.0,24.017,IND,0,TEN,10.0,29.0,2.9,0.0,10.0,8.0,66.0,8.25,0.0,80.0%,6.6,65%,48.0,Nyheim Hines,RB,2020,17.5
242,2020-12-06,12.0,24.024,IND,1,HOU,6.0,10.0,1.67,1.0,3.0,3.0,22.0,7.33,0.0,100.0%,7.33,33%,23.0,Nyheim Hines,RB,2020,12.2
243,2020-09-13,1.0,21.243000000000002,DET,0,CHI,3.0,8.0,2.67,1.0,5.0,3.0,15.0,5.0,0.0,60.0%,3.0,44%,34.0,D'Andre Swift ,RB,2020,11.3
244,2020-09-20,2.0,21.25,DET,1,GNB,5.0,12.0,2.4,0.0,5.0,5.0,60.0,12.0,0.0,100.0%,12.0,34%,20.0,D'Andre Swift ,RB,2020,12.2
245,2020-09-27,3.0,21.256999999999998,DET,1,ARI,0.0,0.0,0.0,0.0,2.0,1.0,19.0,19.0,0.0,50.0%,9.5,9%,6.0,D'Andre Swift ,RB,2020,2.9
246,2020-10-04,4.0,21.264,DET,0,NOR,4.0,22.0,5.5,0.0,4.0,4.0,30.0,7.5,1.0,100.0%,7.5,38%,23.0,D'Andre Swift ,RB,2020,15.2
247,2020-10-18,5.0,21.278000000000002,DET,1,JAX,14.0,116.0,8.29,2.0,4.0,3.0,7.0,2.33,0.0,75.0%,1.75,38%,29.0,D'Andre Swift ,RB,2020,30.3
248,2020-10-25,6.0,21.285,DET,1,ATL,9.0,27.0,3.0,1.0,5.0,4.0,21.0,5.25,0.0,80.0%,4.2,45%,28.0,D'Andre Swift ,RB,2020,14.8
249,2020-11-01,7.0,21.291999999999998,DET,0,IND,6.0,1.0,0.17,0.0,4.0,3.0,22.0,7.33,0.0,75.0%,5.5,62%,38.0,D'Andre Swift ,RB,2020,5.3
250,2020-11-08,8.0,21.299,DET,1,MIN,13.0,64.0,4.92,0.0,5.0,3.0,33.0,11.0,0.0,60.0%,6.6,40%,30.0,D'Andre Swift ,RB,2020,12.7
251,2020-11-15,9.0,21.305999999999997,DET,0,WAS,16.0,81.0,5.06,0.0,5.0,5.0,68.0,13.6,1.0,100.0%,13.6,73%,43.0,D'Andre Swift ,RB,2020,25.9
252,2020-09-13,1.0,30.239,NOR,0,TAM,15.0,48.0,3.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0%,0.0,34%,23.0,Latavius Murray,RB,2020,4.8
253,2020-09-21,2.0,30.247,NOR,1,LVR,3.0,14.0,4.67,0.0,2.0,2.0,19.0,9.5,0.0,100.0%,9.5,27%,16.0,Latavius Murray,RB,2020,5.3
254,2020-09-27,3.0,30.253,NOR,0,GNB,12.0,58.0,4.83,0.0,1.0,1.0,7.0,7.0,0.0,100.0%,7.0,34%,21.0,Latavius Murray,RB,2020,7.5
255,2020-10-04,4.0,30.26,NOR,1,DET,14.0,64.0,4.57,2.0,2.0,1.0,19.0,19.0,0.0,50.0%,9.5,41%,29.0,Latavius Murray,RB,2020,21.3
256,2020-10-12,5.0,30.268,NOR,0,LAC,8.0,34.0,4.25,0.0,2.0,2.0,23.0,11.5,0.0,100.0%,11.5,28%,21.0,Latavius Murray,RB,2020,7.7
257,2020-10-25,6.0,30.281,NOR,0,CAR,11.0,47.0,4.27,0.0,1.0,1.0,9.0,9.0,0.0,100.0%,9.0,33%,23.0,Latavius Murray,RB,2020,6.6
258,2020-11-01,7.0,30.288,NOR,1,CHI,8.0,17.0,2.13,0.0,3.0,3.0,14.0,4.67,0.0,100.0%,4.67,24%,18.0,Latavius Murray,RB,2020,6.1
259,2020-11-08,8.0,30.295,NOR,1,TAM,10.0,39.0,3.9,0.0,2.0,2.0,3.0,1.5,0.0,100.0%,1.5,40%,29.0,Latavius Murray,RB,2020,6.2
260,2020-11-15,9.0,30.302,NOR,0,SFO,9.0,57.0,6.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,0.0,41%,24.0,Latavius Murray,RB,2020,5.7
